skill_id,is_challenge,question,answer,explantion,option_1,option_2,option_3,option_4,option_5,,
1,0,6 4 x 1 5 = ?,2,,966,960,866,,,,
1,0,9 6 x 1 5 =?,1,,1440,1540,1640,,,,
1,0,5 3 x 1 5 = ?,3,,895,885,795,,,,
1,0,5 2 4 x 1 5 = ?,2,,7863,7860,7862,,,,
1,0,6 1 4 x 1 5 =?,2,,9311,9210,9211,,,,
1,0,5 0 3 x 1 5 = ?,3,,7654,7567,7545,,,,
1,0,6 1 4 x 1 5 =?,2,,9311,9210,9211,,,,
1,0,6 7 3 x 1 5 =?,3,,10195,11095,10095,,,,     
1,0,5 3 x 1 5 = ?,3,,895,895,795,,,,
1,0,6 7 x 1 5 = ?,1,,1005,1010,1020,,,,
1,0,2 7 8 x 1 5 = ?,1,,4170,4270,4370,,,,
1,0,2 7 1 5 Divide by 26 = ?,1,,Q :104 R:11,Q :114 R:11,Q :124 R:11,,,,
1,0,3 7 4 6 9 Divide by 22 = ?,2,,Q:1803 R:3,Q:1703 R:3,Q:1903 R:3,,,,
1,0,6 4 7 2 Divide by 54 = ?,3,,Q:129 R:46,Q:139 R:46,Q:119 R:46,,,,
